Município,UF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Ano,ARRECADAÇÃO,Arrecadação
ALCOBACA,BA,478993.62,422422.43,398435.92,594059.96,853921.52,988994.93,998566.01,1744137.61,1975934.95,2537919.87,3028726.39,2951963.33,3701829.25,2017,,
ALDEIAS ALTAS,MA,66881.66,162531.42,108655.7,576566.21,1486827.26,1699130.07,1484201.2,1315485.64,1154607.54,1736954.2,1421602.48,1751574.41,1769376.36,2017,,
ALECRIM,RS,309792.06,294929.17,354671.38,426540.0,360862.36,450766.68,509651.76,1128457.27,1452744.45,1575181.29,1645693.54,2056210.12,2039948.5,2017,,
ALEGRE,ES,2800483.3,3003223.04,3344415.49,4884343.0,4930523.23,4553695.82,5604797.17,9675752.47,10464970.71,11562585.49,12739997.19,13144051.38,13586337.96,2017,,
ALEGRETE,RS,17644374.14,17477022.22,19332561.26,22282681.04,23833703.11,26171988.3,31920614.81,43021763.65,52800851.45,55064880.26,61531359.12,63437971.22,72875147.01,2017,,
ALEGRETE DO PIAUI,PI,50526.91,35702.88,30855.57,46135.72,52648.23,69823.87,82013.38,193317.7,284095.0,327855.76,353985.39,349039.35,407433.57,2017,,
ALEGRIA,RS,206550.42,171351.15,208951.05,222154.03,249352.87,284194.86,405146.75,610670.11,1027707.43,1218349.61,1740763.74,1643810.29,1737322.79,2017,,
ALEM PARAIBA,MG,11922442.52,10756003.84,11445867.42,14715095.65,14715696.44,14647018.41,24885008.72,24173816.91,25710442.91,27204068.31,28138055.94,26450299.04,27006335.18,2017,,
ALENQUER,PA,587396.52,558732.43,636072.42,1008223.03,1178053.11,1212397.08,1672575.92,2660020.83,2868090.86,3328960.46,3631495.37,3326827.91,3696369.81,2017,,
ALEXANDRIA,RN,251596.16,244306.98,279675.16,337765.5,384610.03,449936.21,621877.34,1250401.8,1120696.69,1404232.26,1973823.96,2181466.75,1944432.04,2017,,
ALEXANIA,GO,42636230.6,47232792.54,50215693.79,42475597.86,30035790.45,20550184.44,21664326.55,23752111.1,26909025.97,24929562.13,22129379.34,16666655.41,21572818.01,2017,,
ALFENAS,MG,21137180.91,23861377.3,27607223.75,35000838.85,38486729.12,51887662.19,76853530.09,98531672.11,120132331.33,135487456.51,145342335.21,154339171.05,178027979.85,2017,,
ALFREDO CHAVES,ES,5300547.29,4811338.27,8619066.45,12751452.99,9904661.98,11726607.2,14272923.93,20944016.16,20688053.39,25702592.79,28297144.05,30017253.72,33844327.45,2017,,
ALFREDO MARCONDES,SP,468878.39,505686.18,653953.56,1110626.34,1168373.34,1577476.31,2384576.15,6568146.06,9115142.09,13199993.01,8472925.35,9132893.8,10428021.16,2017,,
ALFREDO VASCONCELOS,MG,16848848.89,3747056.17,849679.48,2062062.22,1200521.12,993680.13,1488291.09,2356502.02,2881784.5,3355744.22,3934646.83,4009981.49,3915288.66,2017,,
ALFREDO WAGNER,SC,761272.02,690861.06,916773.03,1199851.73,1450994.05,1597031.51,1767173.2,2921133.29,4901701.37,4753083.08,5100900.46,5496500.17,6511299.42,2017,,
ALGODAO DE JANDAIRA,PB,5858.09,6607.63,9576.38,9868.83,19587.13,17100.61,18595.73,23201.03,48493.74,75470.36,95846.65,84930.58,90946.36,2017,,
ALHANDRA,PB,9295391.89,9441314.31,14344435.26,15790815.13,20918633.02,18591332.23,19333402.4,27000548.67,22509679.6,23731897.77,14814521.74,15798831.46,21308688.72,2017,,
ALIANCA,PE,693498.15,659654.86,850055.39,542061.22,647127.62,989360.83,1068440.63,2001909.18,2242592.02,3505098.53,3919731.47,4121579.69,4688357.11,2017,,
ALIANCA DO TOCANTINS,TO,135932.61,224324.77,169865.85,239333.77,254625.95,339760.33,497478.56,651671.12,819374.73,1004002.9,1172230.64,1298743.76,1608595.76,2017,,
ALMADINA,BA,52911.99,47431.2,50050.56,61069.18,49915.47,55783.02,65874.05,154607.96,221196.53,197503.24,300377.75,261248.09,325303.81,2017,,
ALMAS,TO,426143.4,451647.54,644826.24,742527.68,1026301.87,1352130.99,1865888.88,2745668.6,2493453.8,2147578.1,2165992.78,2198868.74,2683049.45,2017,,
ALMEIRIM,PA,39034231.97,19983899.95,21166416.06,21434083.47,12680306.62,21193634.28,26631427.93,34691572.08,28857539.55,31807354.42,8780893.72,10298145.76,14371942.03,2017,,
ALMENARA,MG,2308986.78,2401675.44,2816596.13,2852982.97,2819173.11,3172064.03,4995238.3,7772715.54,10586348.43,12112431.24,12263006.76,12770221.4,13674582.21,2017,,
ALMINO AFONSO,RN,58687.42,59786.68,81930.46,130031.94,165038.35,152960.99,143796.95,296530.15,372570.66,457483.14,562830.34,495057.73,570253.01,2017,,
ALMIRANTE TAMANDARE,PR,20445269.48,16377334.72,17159725.96,24272542.99,23064963.67,29679032.9,37504419.01,51800103.58,61691092.04,66818572.73,66913576.43,61628633.14,74335203.85,2017,,
ALMIRANTE TAMANDARE DO SUL,RS,358973.0,372916.75,415630.8,613409.25,537480.19,410955.91,569171.71,784492.39,1162668.0,999601.95,1482181.72,1839329.73,1538922.43,2017,,
ALOANDIA,GO,74914.98,75765.47,98304.88,129620.35,108693.17,125607.78,112512.74,244842.73,323815.26,492760.35,483341.94,505009.85,608039.38,2017,,
ALPERCATA,MG,283675.29,443139.89,269389.75,743851.86,517039.12,463626.44,529445.68,1122455.03,1441167.62,1597593.98,1532762.69,1784127.95,1558108.36,2017,,
ALPESTRE,RS,456877.27,530725.69,646183.25,861954.81,796605.59,946986.07,1164020.74,1975217.89,2419467.09,2882050.41,3264409.32,4321343.47,3758955.33,2017,,
ALPINOPOLIS,MG,2517920.01,2633902.25,3006541.09,2892695.48,2828984.1,3152650.95,4383794.34,6331279.11,7477014.75,9269034.75,9610279.41,10244438.16,10676940.48,2017,,
ALTA FLORESTA,MT,11852658.8,12989357.49,16760057.35,21319390.08,20455078.4,24469594.26,28381177.92,40222436.61,49703153.63,53252209.3,61553886.52,63934786.07,65317292.6,2017,,
ALTA FLORESTA D'OESTE,RO,2583563.62,1952752.85,2351978.69,2988857.61,2568690.81,3419978.45,4357647.75,6407971.9,8073180.65,9094601.92,10333041.21,8581813.37,10108138.76,2017,,
ALTAIR,SP,2439243.81,4806119.9,2405958.62,466283.38,702270.14,2833288.85,2425970.12,2866653.05,3128637.45,3749280.94,3867975.89,5621857.16,6234804.32,2017,,
ALTAMIRA,PA,8155242.11,7489540.98,10214913.34,12387143.79,12562153.32,15388589.52,31616893.85,81943772.47,127200811.59,243633868.41,259471460.69,96100449.48,100108846.6,2017,,
ALTAMIRA DO MARANHAO,MA,48874.47,55657.61,51476.06,39544.07,38929.03,48628.65,85932.52,123323.17,130094.55,211677.04,274852.46,298377.7,457801.39,2017,,
ALTAMIRA DO PARANA,PR,118912.27,142987.85,128326.91,187055.33,193321.65,239630.23,307651.27,432110.09,672320.06,846948.01,826384.8,795403.87,945994.75,2017,,
ALTANEIRA,CE,40044.42,37077.57,46368.89,66496.04,64552.16,82978.12,140493.03,254451.33,321181.47,409018.83,1415105.41,1192119.47,941219.62,2017,,
ALTEROSA,MG,735647.78,790136.17,895584.89,1018763.94,981904.22,1316539.52,1446191.5,2672175.55,3080125.15,3362641.81,3898095.55,4774054.33,5113975.57,2017,,
ALTINHO,PE,139452.52,169193.02,160215.34,217294.79,235407.7,336841.75,481666.27,1999985.48,2582487.4,3419897.49,3946430.8,5063208.75,6346435.22,2017,,
ALTINOPOLIS,SP,3755426.7,4139436.66,4406073.77,6838580.62,6255025.57,6904358.78,8893589.93,9736100.83,11556223.64,12053078.45,13687557.37,15879081.26,19892653.33,2017,,
ALTO ALEGRE,RR,116387.51,192675.92,199183.16,247267.96,438995.34,513545.12,491406.96,558993.22,742877.95,756067.39,749783.77,628665.81,1196267.97,2017,,
ALTO ALEGRE,RS,89521.56,88208.94,95719.97,122001.4,145075.87,114023.54,173342.45,273202.16,403053.27,351583.74,408968.02,408724.38,526565.59,2017,,
ALTO ALEGRE,SP,509256.71,303549.6,444144.41,517018.09,548186.86,838684.52,939632.02,1705640.96,1908707.5,2017875.88,2158425.72,2403953.31,3105639.82,2017,,
ALTO ALEGRE DO MARANHAO,MA,46392.46,116767.07,174812.78,140094.49,98296.87,196482.99,209225.28,1261281.86,1793752.2,2355413.05,1856383.48,2014774.33,2683016.55,2017,,
ALTO ALEGRE DO PINDARE,MA,58992.51,110205.41,124918.31,179241.26,221552.35,158352.06,264422.28,498850.67,471992.35,573856.02,920003.46,1054101.51,1260329.3,2017,,
ALTO ALEGRE DOS PARECIS,RO,282679.5,253484.69,240015.71,471250.53,525564.66,561369.75,820890.06,1442643.11,2030636.25,1744874.19,2195788.67,2063521.02,2441633.09,2017,,
ALTO ARAGUAIA,MT,2144321.95,1197046.06,1955209.39,2517663.53,2091992.29,2918821.38,3260818.48,5602215.97,6443556.67,7050394.9,7016654.27,7891786.92,8120412.1,2017,,
